"filename", "language", "Dart", "comment", "blank", "total"
"/Users/shouryathakur/scheme_a_i/lib/app/data/models/scheme_recommendation.dart", "Dart", 161, 3, 17, 181
"/Users/shouryathakur/scheme_a_i/lib/app/data/models/user_form_data.dart", "Dart", 146, 0, 8, 154
"/Users/shouryathakur/scheme_a_i/lib/app/data/services/firebase_service.dart", "Dart", 243, 25, 43, 311
"/Users/shouryathakur/scheme_a_i/lib/app/data/services/gemini_service.dart", "Dart", 229, 10, 36, 275
"/Users/shouryathakur/scheme_a_i/lib/app/modules/home/bindings/home_binding.dart", "Dart", 10, 0, 3, 13
"/Users/shouryathakur/scheme_a_i/lib/app/modules/home/controllers/home_controller.dart", "Dart", 17, 1, 6, 24
"/Users/shouryathakur/scheme_a_i/lib/app/modules/home/views/home_view.dart", "Dart", 21, 0, 4, 25
"/Users/shouryathakur/scheme_a_i/lib/app/routes/app_pages.dart", "Dart", 53, 0, 6, 59
"/Users/shouryathakur/scheme_a_i/lib/app/routes/app_routes.dart", "Dart", 25, 0, 3, 28
"/Users/shouryathakur/scheme_a_i/lib/features/auth/login_screen.dart", "Dart", 228, 8, 34, 270
"/Users/shouryathakur/scheme_a_i/lib/features/auth/register_screen.dart", "Dart", 303, 11, 44, 358
"/Users/shouryathakur/scheme_a_i/lib/features/form/form_screen.dart", "Dart", 551, 12, 69, 632
"/Users/shouryathakur/scheme_a_i/lib/features/history/history_screen.dart", "Dart", 323, 6, 29, 358
"/Users/shouryathakur/scheme_a_i/lib/features/home/home_screen.dart", "Dart", 512, 7, 27, 546
"/Users/shouryathakur/scheme_a_i/lib/features/profile/profile_screen.dart", "Dart", 456, 0, 31, 487
"/Users/shouryathakur/scheme_a_i/lib/features/results/results_screen.dart", "Dart", 513, 6, 35, 554
"/Users/shouryathakur/scheme_a_i/lib/features/scheme_detail/scheme_detail_screen.dart", "Dart", 333, 5, 28, 366
"/Users/shouryathakur/scheme_a_i/lib/features/splash/splash_screen.dart", "Dart", 147, 6, 16, 169
"/Users/shouryathakur/scheme_a_i/lib/firebase_options.dart", "Dart", 70, 12, 7, 89
"/Users/shouryathakur/scheme_a_i/lib/main.dart", "Dart", 42, 5, 9, 56
"/Users/shouryathakur/scheme_a_i/lib/shared/constants/app_constants.dart", "Dart", 124, 23, 23, 170
"/Users/shouryathakur/scheme_a_i/lib/shared/theme/app_theme.dart", "Dart", 206, 13, 16, 235
"/Users/shouryathakur/scheme_a_i/lib/shared/utils/validators.dart", "Dart", 254, 29, 74, 357
"/Users/shouryathakur/scheme_a_i/lib/shared/widgets/custom_button.dart", "Dart", 137, 1, 9, 147
"/Users/shouryathakur/scheme_a_i/lib/shared/widgets/custom_dropdown.dart", "Dart", 304, 3, 25, 332
"/Users/shouryathakur/scheme_a_i/lib/shared/widgets/custom_input_field.dart", "Dart", 303, 3, 37, 343
"/Users/shouryathakur/scheme_a_i/lib/shared/widgets/loading_widget.dart", "Dart", 329, 6, 32, 367
"Total", "-", 6040, 195, 671, 6906
